reference,comparator,metric,n,mean_difference,ci95_low,ci95_high,paired_dz,dz_undefined,multiplicity
dual_pole,signed_intensity,mean_regret,30,-3.035766082959412e-19,-1.807365021533336e-18,8.673617379884035e-19,,True,exploratory_unadjusted
dual_pole,recurrent,mean_regret,30,-0.0005651224832128494,-0.0006997501215237207,-0.0004273993495379896,-1.4626064390828788,False,single_prespecified_primary
dual_pole,no_memory,mean_regret,30,-0.013056383266495452,-0.013486266158482902,-0.012623638789942687,-10.451040106369392,False,exploratory_unadjusted
dual_pole,no_workspace,mean_regret,30,-0.01808205335332684,-0.018211168573597794,-0.017950526882877148,-48.31897317206415,False,exploratory_unadjusted
dual_pole,no_self_model,mean_regret,30,-0.003962062275931187,-0.004044380283835259,-0.0038750493523221417,-16.51079735377133,False,exploratory_unadjusted
dual_pole,memory_erase,mean_regret,30,-0.013056383266495452,-0.013486266158482902,-0.012623638789942687,-10.451040106369392,False,exploratory_unadjusted
dual_pole,memory_shuffle,mean_regret,30,-0.008044026516041601,-0.009760018362669393,-0.006159197946554048,-1.560389783729201,False,exploratory_unadjusted
dual_pole,workspace_shuffle,mean_regret,30,-0.02748441026165301,-0.02860851363365895,-0.02638529384317248,-8.611047935285708,False,exploratory_unadjusted
dual_pole,self_model_reset,mean_regret,30,-0.00028715103388338696,-0.00030269398548945353,-0.0002718965118749034,-6.449095038213802,False,exploratory_unadjusted
dual_pole,zero,mean_regret,30,-0.17008478267167204,-0.17347160313901827,-0.1667773431498231,-17.866440114245957,False,exploratory_unadjusted
dual_pole,uniform,mean_regret,30,-0.0791603818938068,-0.07935584301337288,-0.07895996462613934,-135.96973199180218,False,exploratory_unadjusted
dual_pole,disconnected,mean_regret,30,-0.1028222190424231,-0.10535628431090585,-0.10035189475975753,-14.598914168443029,False,exploratory_unadjusted
