seed,family,topology,resource,mode,loss,cost,post_switch_loss,return_loss,saturation,violations,runtime_seconds
901001,linear,aligned,ample,full,0.0026435979621721446,0.4298251470223931,0.006637279376982306,0.0010861629923590596,0.03125,0,0.020227431000193974
901001,linear,aligned,ample,no_K,0.0026435979621721446,0.4298251470223931,0.006637279376982306,0.0010861629923590596,0.03125,0,0.018766153999877133
901001,linear,aligned,ample,no_W,0.0026435979621721446,0.4298251470223931,0.006637279376982306,0.0010861629923590596,0.03125,0,0.01806605099972103
901001,linear,aligned,ample,no_WK,0.0026435979621721446,0.4298251470223931,0.006637279376982306,0.0010861629923590596,0.03125,0,0.01837636499982409
901001,linear,aligned,ample,retuned_zero,0.0026435979621721446,0.4298251470223931,0.006637279376982306,0.0010861629923590596,0.03125,0,0.01799352300031387
901001,linear,aligned,ample,rewired,0.0026435979621721446,0.4298251470223931,0.006637279376982306,0.0010861629923590596,0.03125,0,0.023500497999805248
901001,linear,aligned,ample,reverse,0.0026435979621721446,0.4298251470223931,0.006637279376982306,0.0010861629923590596,0.03125,0,0.018237868999790408
901001,linear,aligned,ample,generic_nonlinear,0.0026435979621721446,0.4298251470223931,0.006637279376982306,0.0010861629923590596,0.03125,0,0.016918274999795813
901001,linear,aligned,ample,generic_equivalent,0.0026435979621721446,0.4298251470223931,0.006637279376982306,0.0010861629923590596,0.03125,0,0.016317994999894836
901001,linear,aligned,ample,signed_intensity,0.0026435979621721446,0.4298251470223931,0.006637279376982305,0.0010861629923590596,0.03125,0,0.02925616600043668
901001,linear,aligned,ample,gradient,0.0032506132272574796,0.43129109954905775,0.00922736899160683,0.0015956978531697032,0.03125,0,0.015559146000157398
901001,linear,aligned,ample,zero_negative,0.23892270402689206,0.0,0.26451020621455185,0.18155848604366598,1.0,0,0.014681653000138795
901001,linear,aligned,scarce,full,0.006291861471727385,0.39307519089541226,0.013036484665299048,0.0013800890502058038,0.03125,0,0.01852014500025234
901001,linear,aligned,scarce,no_K,0.006291861471727385,0.39307519089541226,0.013036484665299048,0.0013800890502058038,0.03125,0,0.01836909700017486
901001,linear,aligned,scarce,no_W,0.006291861471727385,0.39307519089541226,0.013036484665299048,0.0013800890502058038,0.03125,0,0.018263863000072433
901001,linear,aligned,scarce,no_WK,0.006291861471727385,0.39307519089541226,0.013036484665299048,0.0013800890502058038,0.03125,0,0.018234334000339913
901001,linear,aligned,scarce,retuned_zero,0.006291861471727385,0.39307519089541226,0.013036484665299048,0.0013800890502058038,0.03125,0,0.01797366100021236
901001,linear,aligned,scarce,rewired,0.006291861471727385,0.39307519089541226,0.013036484665299048,0.0013800890502058038,0.03125,0,0.01832306600033462
901001,linear,aligned,scarce,reverse,0.006291861471727385,0.39307519089541226,0.013036484665299048,0.0013800890502058038,0.03125,0,0.017894419000072048
901001,linear,aligned,scarce,generic_nonlinear,0.006291861471727385,0.39307519089541226,0.013036484665299048,0.0013800890502058038,0.03125,0,0.016818510999883074
901001,linear,aligned,scarce,generic_equivalent,0.006291861471727385,0.39307519089541226,0.013036484665299048,0.0013800890502058038,0.03125,0,0.01633523000009518
901001,linear,aligned,scarce,signed_intensity,0.006291861471727385,0.39307519089541226,0.013036484665299048,0.0013800890502058038,0.03125,0,0.029275331999542686
901001,linear,aligned,scarce,gradient,0.006870469928915404,0.39321126078265956,0.01388732392368998,0.0016175208786223714,0.03125,0,0.015608308999617293
901001,linear,aligned,scarce,zero_negative,0.23892270402689206,0.0,0.26451020621455185,0.18155848604366598,1.0,0,0.015077949999977136
901001,linear,rewired,ample,full,0.002202251099785896,0.42985196293920613,0.005697922143240295,0.0006431709361793786,0.03125,0,0.018924220999906538
901001,linear,rewired,ample,no_K,0.002202251099785896,0.42985196293920613,0.005697922143240295,0.0006431709361793786,0.03125,0,0.01845984299933434
901001,linear,rewired,ample,no_W,0.002202251099785896,0.42985196293920613,0.005697922143240295,0.0006431709361793786,0.03125,0,0.018162889999985055
901001,linear,rewired,ample,no_WK,0.002202251099785896,0.42985196293920613,0.005697922143240295,0.0006431709361793786,0.03125,0,0.01838367800019114
901001,linear,rewired,ample,retuned_zero,0.002202251099785896,0.42985196293920613,0.005697922143240295,0.0006431709361793786,0.03125,0,0.01806788000016013
901001,linear,rewired,ample,rewired,0.002202251099785896,0.42985196293920613,0.005697922143240295,0.0006431709361793786,0.03125,0,0.018589594999866677
901001,linear,rewired,ample,reverse,0.002202251099785896,0.42985196293920613,0.005697922143240295,0.0006431709361793786,0.03125,0,0.018358155999919745
901001,linear,rewired,ample,generic_nonlinear,0.002202251099785896,0.42985196293920613,0.005697922143240295,0.0006431709361793786,0.03125,0,0.016687325999726
901001,linear,rewired,ample,generic_equivalent,0.002202251099785896,0.42985196293920613,0.005697922143240295,0.0006431709361793786,0.03125,0,0.016258080999818958
901001,linear,rewired,ample,signed_intensity,0.002202251099785896,0.42985196293920613,0.005697922143240295,0.0006431709361793786,0.03125,0,0.028726141000049665
901001,linear,rewired,ample,gradient,0.0028353070022227467,0.4292274978828574,0.00862789106485148,0.0015925995521028934,0.03125,0,0.015861672000028193
901001,linear,rewired,ample,zero_negative,0.23892270402689206,0.0,0.26451020621455185,0.18155848604366598,1.0,0,0.014520079999726931
901001,linear,rewired,scarce,full,0.0058962157592815515,0.3925935811290817,0.012263982771278888,0.0009966447647262635,0.03125,0,0.018560170999819547
901001,linear,rewired,scarce,no_K,0.0058962157592815515,0.3925935811290817,0.012263982771278888,0.0009966447647262635,0.03125,0,0.018015027999751965
901001,linear,rewired,scarce,no_W,0.0058962157592815515,0.3925935811290817,0.012263982771278888,0.0009966447647262635,0.03125,0,0.018382971999699294
901001,linear,rewired,scarce,no_WK,0.0058962157592815515,0.3925935811290817,0.012263982771278888,0.0009966447647262635,0.03125,0,0.01868750499977523
901001,linear,rewired,scarce,retuned_zero,0.0058962157592815515,0.3925935811290817,0.012263982771278888,0.0009966447647262635,0.03125,0,0.025357434000511603
901001,linear,rewired,scarce,rewired,0.0058962157592815515,0.3925935811290817,0.012263982771278888,0.0009966447647262635,0.03125,0,0.01861381900005199
