candidate,kind,replicate,mean_selection_loss,train_steps,train_seconds,actor_parameters
graph-000000,graph,0,98.63617304091655,32768,40.19161118700001,2288
graph-000000,graph,1,97.09180801573933,32768,40.00541204000001,2288
graph-000000,graph,2,99.3665628946231,32768,39.97902668900002,2288
graph-000001,graph,0,109.33761567379246,32768,58.03815218099999,2288
graph-000001,graph,1,69.40581146423291,32768,58.159135037,2288
graph-000001,graph,2,107.1172826205018,32768,57.86100450499998,2288
graph-000010,graph,0,-1.1803085065524377,32768,57.02753139699999,2288
graph-000010,graph,1,106.29501186792426,32768,56.94123652600001,2288
graph-000010,graph,2,104.98826336777871,32768,56.989615387000015,2288
graph-000011,graph,0,97.41360016767351,32768,58.3989139329999,2288
graph-000011,graph,1,104.82474247257535,32768,57.92779395000002,2288
graph-000011,graph,2,112.33645608778009,32768,57.912272391000215,2288
graph-000100,graph,0,105.10292845617774,32768,51.64246038099998,2288
graph-000100,graph,1,26.36719469643302,32768,51.281275037,2288
graph-000100,graph,2,98.75159076252345,32768,51.30425392300003,2288
graph-000101,graph,0,111.42025567125529,32768,59.13311682099999,2288
graph-000101,graph,1,110.39099838752817,32768,58.61956600399998,2288
graph-000101,graph,2,109.01071261040244,32768,58.87000136900002,2288
graph-000110,graph,0,102.51854825588977,32768,57.27866682300001,2288
graph-000110,graph,1,111.91147974464627,32768,57.28251250399998,2288
graph-000110,graph,2,-3.373642350650492,32768,57.38825377699999,2288
graph-000111,graph,0,111.33865782373402,32768,55.18944507200001,2288
graph-000111,graph,1,49.894961001972355,32768,55.046196263999946,2288
graph-000111,graph,2,98.14635725593608,32768,55.344156096000006,2288
graph-001000,graph,0,110.36127654739863,32768,51.16251336600001,2288
graph-001000,graph,1,99.19247786307501,32768,51.41242859199997,2288
graph-001000,graph,2,107.77081671000148,32768,51.186532864000014,2288
graph-001001,graph,0,99.01858740223624,32768,58.032000586000095,2288
graph-001001,graph,1,111.07071519337802,32768,57.53400616599993,2288
graph-001001,graph,2,98.18496812078068,32768,57.48961244299994,2288
graph-001010,graph,0,112.19371987475701,32768,39.58841929000002,2288
graph-001010,graph,1,59.62912747864093,32768,39.49294831099999,2288
graph-001010,graph,2,89.40773554467079,32768,39.60828575300002,2288
graph-001011,graph,0,89.29117075327991,32768,51.75052073500001,2288
