step,HGI,INC,SAT,alpha,override
0,0.9956682324409485,0.9991061091423035,0.0,0.9961487054824829,False
1,0.9971233606338501,0.9638490676879883,0.0,0.9973732233047485,False
2,0.9978116750717163,0.980406641960144,0.0,0.9807095527648926,False
3,0.9987606406211853,0.9918949604034424,0.0,0.9891412258148193,False
4,0.998508632183075,0.9810133576393127,0.0,0.9953124523162842,False
5,0.9980816841125488,0.9673116207122803,0.0,0.9897845387458801,False
6,0.9975197315216064,0.9654444456100464,0.0,0.9828572273254395,False
7,0.9967520833015442,0.9752328395843506,0.0,0.9816759824752808,False
8,0.9954196214675903,0.9835476279258728,0.0,0.9860769510269165,False
9,0.9929365515708923,0.9929665327072144,0.0,0.989510715007782,False
10,0.9885526895523071,0.9964008927345276,0.0,0.9929452538490295,False
11,0.9814854264259338,0.9971801042556763,0.0,0.9924737215042114,False
12,0.9714074730873108,0.997205376625061,0.0,0.9893618226051331,False
13,0.9603124856948853,0.9968469738960266,0.0,0.984427273273468,False
14,0.9541441202163696,0.9957824945449829,0.0,0.9788646697998047,False
15,0.959284245967865,0.992138683795929,0.0,0.9753842353820801,False
16,0.9737967848777771,0.9805904626846313,0.0,0.9761022329330444,False
17,0.9869813919067383,0.9755057692527771,0.0,0.9775277972221375,False
18,0.9937798976898193,0.9776641130447388,0.0,0.9814443588256836,False
19,0.9967240691184998,0.9837791919708252,0.0,0.9858119487762451,False
20,0.9980148673057556,0.9865365624427795,0.0,0.9902693033218384,False
21,0.9986518621444702,0.9863557815551758,0.0,0.9922741055488586,False
22,0.999013364315033,0.9862237572669983,0.0,0.9925004839897156,False
23,0.9992396831512451,0.9870087504386902,0.0,0.9926145076751709,False
