step,HGI,INC,SAT,alpha,override
0,0.9950386881828308,0.9991651773452759,0.0,0.9959529638290405,False
1,0.996971845626831,0.9976575374603271,0.0,0.9971910119056702,False
2,0.9980827569961548,0.995445728302002,0.0,0.99739670753479,False
3,0.9987354278564453,0.9927895069122314,0.0,0.9968647360801697,False
4,0.9991305470466614,0.9899265766143799,0.0,0.9958979487419128,False
5,0.9993781447410583,0.9870337247848511,0.0,0.994709849357605,False
6,0.9995391368865967,0.9842132329940796,0.0,0.9934394955635071,False
7,0.9996477365493774,0.981504499912262,0.0,0.9921655654907227,False
8,0.9997236132621765,0.9789068698883057,0.0,0.9909231066703796,False
9,0.9997783303260803,0.9764018058776855,0.0,0.9897211194038391,False
10,0.9998189806938171,0.9739686846733093,0.0,0.9885560870170593,False
11,0.9998499751091003,0.9715924859046936,0.0,0.9874210357666016,False
12,0.9998739957809448,0.9692678451538086,0.0,0.9863110184669495,False
13,0.999893069267273,0.9669985175132751,0.0,0.9852244853973389,False
14,0.9999083876609802,0.964796781539917,0.0,0.9841641783714294,False
15,0.9999207854270935,0.962680995464325,0.0,0.983135998249054,False
16,0.9998542070388794,0.9846842288970947,0.0,0.9821489453315735,False
17,0.9999032616615295,0.9769693613052368,0.0,0.9925416707992554,False
18,0.9999282956123352,0.9691693186759949,0.0,0.9888850450515747,False
19,0.9999427795410156,0.9632025361061096,0.0,0.9852036237716675,False
