seed,variant,tracking_rmse,mean_regret,mean_cost,hard_violations,mean_recovery_steps,recovery_censored,recovery_events,recovery_fraction,recall_regret,reacquisition_regret,effect_discrimination,effect_target_correlation,mean_node_homogeneity,mean_temporal_action_cosine,external_pass
1001,dual_pole,0.061527286285699916,0.003782497181260757,13.651243630473582,0,1.0,0,5,1.0,0.012835690541134936,9.916749933282417e-05,0.5264195258095843,0.9785944965623288,0.959562243086661,0.9868626997788134,True
1001,recurrent,0.06231552493038663,0.0038801148709279192,13.744158738046963,0,1.6,0,5,1.0,0.01176958711221502,9.904328763178401e-05,0.5301081258556088,0.9773266818402152,0.9588713611852925,0.974911793888347,True
1001,no_self_model,0.05179168313672777,0.002679268665713493,13.816560937731794,0,0.6,0,5,1.0,0.01093710340688412,9.843930025941326e-05,0.5329416991052709,0.9849413774458181,0.958821691689911,0.9863037102767583,True
1001,reset_capacity_recall,0.058577759412274694,0.0034282441213406172,13.683480329886661,0,0.6,0,5,1.0,0.010932504010332526,9.857722504137745e-05,0.5276918411472781,0.9807669224067184,0.9593724950660509,0.9868727878621818,True
1001,reset_gain_only_recall,0.058889081523078424,0.0034648141462100576,13.678906334550708,0,0.8,0,5,1.0,0.010931175472929978,9.860177519028642e-05,0.5275114718078716,0.9805514133784364,0.959403711385182,0.9868877848633875,True
1001,freeze_capacity_recall,0.07178527788471943,0.00515001634456467,13.64706546044682,0,0.5,1,5,0.8,0.022060210833341552,0.0019052793528484555,0.5262572074777206,0.969470295971901,0.9590155178871816,0.9863920138501309,False
1001,reset_freeze_capacity_recall,0.054756980193176576,0.002995217103454213,13.761569332816142,0,0.6,0,5,1.0,0.010937935151981333,9.8572141774413e-05,0.530774092771267,0.983161885400292,0.9587578964050437,0.9864749657960684,True
1001,unit_confidence_recall,0.046518643261228856,0.0021608743944437534,14.194008806973526,0,0.8,0,5,1.0,0.0032049214263751985,1.9971757219411017e-07,0.5478444665935526,0.9867708532364048,0.9562855341834741,0.9865706996019801,True
1001,zero_noise,0.051719595314067106,0.0026749165394508723,13.816560937731794,0,0.6,0,5,1.0,0.010931243208953839,9.834094313256077e-05,0.5336315142200729,0.9850096642206112,0.958821691689911,0.9863037102767583,True
1001,gate_small_action_updates,0.05176436498624193,0.002676439706007151,13.815772611058359,0,0.6,0,5,1.0,0.010924086918260382,9.859912878168183e-05,0.5329140654078779,0.9849651903131671,0.9588251901903996,0.9863041257008481,True
1002,dual_pole,0.062488982208922315,0.003901903258429445,13.892719024745034,0,1.2,0,5,1.0,0.014344498082531108,9.998533276538538e-05,0.5277329233570197,0.9774513347515282,0.9573130068455308,0.9850851099454399,True
1002,recurrent,0.058044677834718804,0.003366214985858732,13.948320537920708,0,1.2,0,5,1.0,0.01245175849546382,9.918592381222543e-05,0.5298828026466912,0.9807061933500992,0.9570081069702674,0.979015804267843,True
1002,no_self_model,0.05256167347449925,0.0027597598793623127,14.012955168501023,0,0.6,0,5,1.0,0.011431287604051859,9.753903247190733e-05,0.5324170910345583,0.984394348327233,0.9565681286958027,0.9852424874300775,True
1002,reset_capacity_recall,0.05806684452596363,0.0033687887941248676,13.942493007222987,0,0.6,0,5,1.0,0.011417764859174508,9.892207871115122e-05,0.5296721063140054,0.980725057358947,0.9570335933849754,0.9849575912065716,True
1002,reset_gain_only_recall,0.05845099234554414,0.0034135488671012955,13.940056300025743,0,0.8,0,5,1.0,0.011415474742329026,9.906203598293406e-05,0.5295772283602145,0.980438442293035,0.9570378303035784,0.9849309266211903,True
1002,freeze_capacity_recall,0.07525757548398047,0.005660733028649453,13.754632706161194,0,0.75,1,5,0.8,0.025187146359465083,0.0024479588403849193,0.5223570984280157,0.9665671581801443,0.9580944622659073,0.9853493438388984,False
1002,reset_freeze_capacity_recall,0.054583610250799386,0.002976400868933606,13.98508548565964,0,0.6,0,5,1.0,0.011432315697161351,9.779889879123015e-05,0.5313314824070461,0.9831045302991425,0.9567656455824931,0.9852067443126453,True
1002,unit_confidence_recall,0.04693513023904652,0.0021999368114786937,14.430700169919254,0,0.8,0,5,1.0,0.004232330832803563,3.535477259606027e-07,0.5486932269269922,0.9864290569704386,0.9541188697070382,0.9847710412062833,True
1002,zero_noise,0.052506891650515954,0.002756973670799022,14.012955168501023,0,0.6,0,5,1.0,0.01142358599395113,9.834094622417074e-05,0.5331088597937859,0.9844384857482646,0.9565681286958027,0.9852424874300775,True
1002,gate_small_action_updates,0.05255741012533847,0.0027593117200054654,14.015411136082422,0,0.6,0,5,1.0,0.011417976463497766,9.905461807554633e-05,0.5325131212691452,0.9843820854556972,0.9565506382390696,0.9852139008570231,True
1003,dual_pole,0.05310545790574858,0.0028169313481961264,15.660637755069251,0,0.4,0,5,1.0,0.012646035097449758,0.00011406414385866731,0.5357529488808686,0.983782677578549,0.9778389321645108,0.9916348330652182,True
1003,recurrent,0.05643122305855697,0.0031812246247015035,15.657672389348653,0,0.8,0,5,1.0,0.01270866334661196,0.00011421643669357856,0.5356298471165716,0.9812930563418254,0.9776936001708935,0.9856904135354667,True
1003,no_self_model,0.05075867516466207,0.002573184793288574,15.701196264691953,0,0.2,0,5,1.0,0.011944640424109143,0.00011347474469983398,0.5371575084297326,0.9852106108354335,0.9775864190851404,0.9914002537766068,True
1003,reset_capacity_recall,0.0518987474794203,0.002690221678749527,15.675887777392637,0,0.4,0,5,1.0,0.01193954732547775,0.00011384423012495852,0.5362818289452513,0.9845610609904923,0.9777230627784709,0.9915354959823672,True
