scenario,corrected_seed,original_HGI,corrected_HGI,delta_HGI,original_INC,corrected_INC,delta_INC,Continuous_modulation_pct,Override_pct,HGI_guard_pct,INC_guard_pct,Clipping_pct,Recovery,Recovery_status
p2,2025,0.9999427795410156,0.9999427795410156,0.0,0.9632025361061096,0.9605910778045654,-0.0026114583015441895,100.0,0.0,0.0,5.0,0.0,,not_applicable
p6,2025,0.9998660087585449,0.9998109340667725,-5.507469177246094e-05,0.9653140306472778,0.9763748645782471,0.011060833930969238,100.0,0.0,0.0,45.0,0.0,3,recovered
p7,2025,0.9992396831512451,0.9949138164520264,-0.00432586669921875,0.9870087504386902,0.9514172673225403,-0.0355914831161499,100.0,0.0,25.0,62.5,29.166666666666668,,censored
p7_no_modulation,2025,0.99943608045578,0.9956052899360657,-0.0038307905197143555,0.9882102012634277,0.9552417993545532,-0.03296840190887451,0.0,0.0,25.0,62.5,29.166666666666668,,censored
p7_no_homeostasis,2025,0.9977855682373047,0.9868995547294617,-0.010886013507843018,0.9767240285873413,0.9455357789993286,-0.031188249588012695,100.0,0.0,29.166666666666668,54.166666666666664,50.0,,censored
iacl,2025,0.9999165336290995,0.9999081293741862,-8.404254913330078e-06,0.9766205747922262,0.9740644693374634,-0.0025561054547628137,100.0,0.0,0.0,48.61111111111111,0.0,,no_detectable_departure
perturb_reduced,2025,0.9958305358886719,0.9955989122390747,-0.00023162364959716797,0.9945833086967468,0.9929540753364563,-0.0016292333602905273,100.0,0.0,14.285714285714285,14.285714285714285,25.0,,censored
perturb_no_reduction,2025,0.9899600148200989,0.9894335865974426,-0.00052642822265625,0.9964836835861206,0.9953389167785645,-0.0011447668075561523,100.0,0.0,14.285714285714285,14.285714285714285,42.857142857142854,,censored
