rank,phase,subject,lab,eid,pid,probe_name,n_trials,n_good_units,panel_hash
33,reserve,NR_0031,steinmetzlab,642c97ea-fe89-4ec9-8629-5e492ea4019d,b72b22c2-6e9d-4604-9910-20c0e1a467d7,probe01,489,39,51b3d4c2035654af08383fe43cf37210f479b79da6bfa1bc1a0fd2ee8142ae57
34,reserve,NYU-30,angelakilab,77e6dc6a-66ed-433c-b1a2-778c914f523c,7b05cccc-44f6-4491-a0ea-e38d6e95513d,probe00,784,95,520023f9b56a35494bb2b98d2a63d23d3a0bd524f954c3da66ab343c469b7cd5
35,reserve,CSH_ZAD_029,zadorlab,5522ac4b-0e41-4c53-836a-aaa17e82b9eb,180d278e-1a49-42da-a624-24aa14b57a4e,probe00,1139,136,52604ae817d9137cda007190d211a16f34c452fdf4af6ce0f91b8ddb34310771
36,reserve,UCLA034,churchlandlab_ucla,3537d970-f515-4786-853f-23de525e110f,501ab543-9d02-4085-956d-22b9b3eeb543,probe00,503,246,53bd6f298665aa0af7c4d8daf1b62e5e99f9374ca7637e259e21fdec3e3ba680
37,reserve,PL037,hausserlab,d23b005f-46f5-4fe1-870c-f55f6eb9533d,d70f3604-b3cc-41b0-967a-f6619b2586a7,probe00,586,180,54c18e2c8238270f5ee6c7201dbca2c901930744684c4645050824206159f5a5
38,reserve,PL035,hausserlab,04749a70-ac63-477d-8392-d4d529184fab,a44a9942-0667-4d49-9047-40d2256c9854,probe00,593,72,555722fa1a20ad43d592dfcb5c0dac38a6eb0c56d8f85df985eccd7ce27ef4c9
39,reserve,CSHL051,churchlandlab,ecb5520d-1358-434c-95ec-93687ecd1396,e55266c7-eb05-47bb-b263-1cc08dc3c00c,probe01,510,80,57b946a43ea7e1fb6fe4666d8c7d95927e9104821a4e26c8cd968ada050a12a5
40,reserve,SWC_058,mrsicflogellab,3638d102-e8b6-4230-8742-e548cd87a949,143dd7cf-6a47-47a1-906d-927ad7fe9117,probe01,695,83,5885b70ec945d22060f2717ccd3997946d5aa0529b0dd123b3c13749e0284626
41,reserve,SWC_054,mrsicflogellab,eebacd5a-7dcd-4ba6-9dff-ec2a4d2f19e0,df6012d0-d921-4d0a-af2a-2a91030d0f42,probe00,630,129,5a882c2fa6b5120c858e9f854ffc534f4b9b2e36a008c3b05904e2b8a6a51431
42,reserve,MFD_09,churchlandlab_ucla,ebce500b-c530-47de-8cb1-963c552703ea,8c732bf2-639d-496c-bf82-464bc9c2d54b,probe00,569,291,5acc41bf658b13d346dcf700ab15d5d49dbea6bff3b51c621ef911176fa55594
43,reserve,ZFM-04308,mainenlab,9dd72e52-5393-4c08-9eca-f7dace2e59f6,9861fa24-d998-4ef5-9606-89002b8706fc,probe01,403,90,5afff3884288d5361e4f21450015d7ea38927d4f8746befc373374d509599464
44,reserve,MFD_07,churchlandlab_ucla,15b69921-d471-4ded-8814-2adad954bcd8,7a620688-66cb-44d3-b79b-ccac1c8ba23e,probe00,825,128,5b06821084a72d82c1aeeb00d3e59da353ff5b778d3e91f4b3a2acbc7651378f
45,reserve,ibl_witten_19,wittenlab,4ddb8a95-788b-48d0-8a0a-66c7c796da96,20469b30-1cd8-4078-9883-a840a0f6d787,probe01,722,67,5d97124bbd5f04afc0de69fa94dbf15a49985d188c31282f84b48339893d87e0
46,reserve,UCLA006,churchlandlab_ucla,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,f967a527-257f-404a-871d-b91575dca3b4,probe00,748,314,5f218b18bbba5232c5c70f2eeaf8b6530e132cad9751a93eebb2875f8fcb7e1a
47,reserve,NYU-40,angelakilab,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,ce0dc660-f19e-46a3-94f9-646bebae6805,probe01,546,90,68f0b29445f182db122c4207fd31e1c07bc730588929cc0519b8794de5d074f8
48,reserve,KS094,cortexlab,6b0b5d24-bcda-4053-a59c-beaa1fe03b8f,ff5fceaf-8247-42ab-a187-f7876441899d,probe01,684,42,6b03c162f1b45f5a0ec616edf26e15bfceabc8cae5148250a49811fd64fd5fda
