step,HGI,INC,SAT,alpha,override
0,0.9954267144203186,0.9992897510528564,0.0,0.9962856769561768,False
1,0.9971849322319031,0.9979535341262817,0.0,0.9974387884140015,False
2,0.9981983304023743,0.9958958029747009,0.0,0.9976428151130676,False
3,0.9987971186637878,0.9932668209075928,0.0,0.9971380233764648,False
4,0.9991621971130371,0.9902278184890747,0.0,0.9961579442024231,False
5,0.9993926882743835,0.9869304299354553,0.0,0.9948700666427612,False
6,0.9995436072349548,0.9835007190704346,0.0,0.9933968782424927,False
7,0.9996461272239685,0.9800329208374023,0.0,0.9918268918991089,False
8,0.9997182488441467,0.9765920639038086,0.0,0.9902205467224121,False
9,0.9997707009315491,0.9732205271720886,0.0,0.9886178374290466,False
10,0.9998099207878113,0.969946563243866,0.0,0.9870437979698181,False
11,0.9716237783432007,0.615731954574585,0.0,0.9855145215988159,False
12,0.9553350210189819,0.9158256649971008,0.0,0.832955002784729,False
13,0.9481454491615295,0.9639751315116882,0.0,0.9410738348960876,False
14,0.9527849555015564,0.9807365536689758,0.0,0.9590400457382202,False
15,0.9514262676239014,0.9881430268287659,0.0,0.9687026143074036,False
16,0.9578148126602173,0.991076648235321,0.0,0.9714685678482056,False
17,0.9627984166145325,0.9927455186843872,0.0,0.975763201713562,False
18,0.9668115377426147,0.993777334690094,0.0,0.978851318359375,False
19,0.9709340929985046,0.9943493604660034,0.0,0.9812061190605164,False
20,0.975389838218689,0.9945512413978577,0.0,0.9834076762199402,False
21,0.9793662428855896,0.9946684837341309,0.0,0.9856017231941223,False
22,0.9829056262969971,0.9947139620780945,0.0,0.9875380992889404,False
23,0.9860265851020813,0.9947104454040527,0.0,0.9892401695251465,False
24,0.9887380599975586,0.9946765303611755,0.0,0.9907251000404358,False
25,0.9910503625869751,0.9946303367614746,0.0,0.9920039772987366,False
26,0.9929823875427246,0.9945893287658691,0.0,0.9930889010429382,False
27,0.9945630431175232,0.9945694208145142,0.0,0.9939961433410645,False
28,0.9958305358886719,0.9945833086967468,0.0,0.994746208190918,False
