step,HGI,INC,SAT,alpha,override
0,0.9954267144203186,0.9992897510528564,0.0,0.9962856769561768,False
1,0.9971849322319031,0.9979535341262817,0.0,0.9974387884140015,False
2,0.9981983304023743,0.9958958029747009,0.0,0.9976428151130676,False
3,0.9987971186637878,0.9932668209075928,0.0,0.9971380233764648,False
4,0.9991621971130371,0.9902278184890747,0.0,0.9961579442024231,False
5,0.9993926882743835,0.9869304299354553,0.0,0.9948700666427612,False
6,0.9995436072349548,0.9835007190704346,0.0,0.9933968782424927,False
7,0.9996461272239685,0.9800329208374023,0.0,0.9918268918991089,False
8,0.9997182488441467,0.9765920639038086,0.0,0.9902205467224121,False
9,0.9997707009315491,0.9732205271720886,0.0,0.9886178374290466,False
10,0.9998099207878113,0.969946563243866,0.0,0.9870437979698181,False
11,0.9716237783432007,0.615731954574585,0.0,0.9855145215988159,False
12,0.9553350210189819,0.9158256649971008,0.0,0.832955002784729,False
13,0.9481454491615295,0.9639751315116882,0.0,0.9410738348960876,False
14,0.9527849555015564,0.9807365536689758,0.0,0.9590400457382202,False
15,0.9514251351356506,0.988142728805542,0.0,0.9687026143074036,False
16,0.9578148722648621,0.9910765886306763,0.0,0.971467912197113,False
17,0.9627984762191772,0.9927455186843872,0.0,0.975763201713562,False
18,0.9667772054672241,0.9937797784805298,0.0,0.978851318359375,False
19,0.9700201749801636,0.9945147633552551,0.0,0.9811912178993225,False
20,0.9727126359939575,0.9950919151306152,0.0,0.9830560684204102,False
21,0.9749897718429565,0.9955742955207825,0.0,0.9845941066741943,False
22,0.9770407676696777,0.9959732890129089,0.0,0.9858959317207336,False
23,0.9791696071624756,0.9962514042854309,0.0,0.9870545864105225,False
24,0.9814043045043945,0.9964170455932617,0.0,0.9881956577301025,False
25,0.9836655259132385,0.996504008769989,0.0,0.9893361330032349,False
26,0.9858808517456055,0.9965347051620483,0.0,0.990454375743866,False
27,0.9879941344261169,0.9965238571166992,0.0,0.9915264248847961,False
28,0.9899600148200989,0.9964836835861206,0.0,0.992531955242157,False
